PID	Status Teorii
118159	Do zdania
118162	Do zdania
118160	Do zdania
118157	Do zdania
118165	Do zdania
118167	Do zdania
118166	Do zdania
118158	Do zdania
118161	Do zdania
118163	Do zdania
118155	Do zdania
118164	Do zdania
118153	Do zdania
118154	Do zdania
118156	Do zdania
118149	Do zdania
118140	Do zdania
118151	Do zdania
118152	Do zdania
118150	Do zdania
